timestamp,ip,latencia_ms,perda_pacotes_pct,jitter_ms,status_real
2026-09-13 21:12:28,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:12:14,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:12:30,193.0.14.129,0.92,33.33,0.01,FALHA
2026-09-13 21:12:15,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:12:59,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:12:59,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:12:41,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:12:03,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:12:16,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:12:49,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:12:25,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:12:58,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:12:27,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:12:37,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:12:04,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:12:04,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:12:40,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:12:35,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:12:52,193.0.14.129,-1,100.0,0.0,FALHA
